cons_standings_ID,race_ID,constructor_ID,cumul_points,cumul_position
1540,166,17,11,5
1541,166,21,3,9
1542,166,1,82,2
1543,166,15,3,8
1544,166,19,3,7
1545,167,6,92,2
1546,167,3,19,3
1547,167,16,12,5
1548,167,22,18,4
1549,167,18,0,10
1550,167,20,0,11
1551,167,17,11,6
1552,167,21,3,9
1553,167,1,98,1
1554,167,15,4,7
1555,167,19,3,8
1556,168,6,102,2
1557,168,3,22,3
1558,168,16,12,5
1559,168,22,18,4
1560,168,18,0,10
1561,168,20,0,11
1562,168,17,11,6
1563,168,21,4,8
1564,168,1,108,1
1565,168,15,6,7
1566,168,19,3,9
1567,169,6,111,2
1568,169,3,24,3
1569,169,16,12,6
1570,169,22,18,4
1571,169,18,0,10
1572,169,20,0,11
1573,169,17,12,5
1574,169,21,4,8
1575,169,1,122,1
1576,169,15,6,7
1577,169,19,3,9
1578,170,6,117,2
1579,170,3,30,3
1580,170,16,12,6
1581,170,22,18,4
1582,170,18,0,10
1583,170,20,0,11
1584,170,17,13,5
1585,170,21,4,8
1586,170,1,135,1
1587,170,15,6,7
1588,170,19,3,9
1589,171,6,127,2
1590,171,3,34,3
1591,171,16,13,6
1592,171,22,20,4
1593,171,18,0,10
1594,171,20,0,11
1595,171,17,13,5
1596,171,21,7,7
1597,171,1,141,1
1598,171,15,6,8
1599,171,19,3,9
1600,172,6,143,1
1601,172,3,34,3
1602,172,16,17,6
1603,172,22,20,4
1604,172,18,0,10
1605,172,20,0,11
1606,172,17,17,5
1607,172,21,7,7
1608,172,1,143,2
1609,172,15,6,8
1610,172,19,3,9
1611,173,6,156,1
1612,173,3,36,3
1613,173,16,18,5
1614,173,22,20,4
1615,173,18,0,10
1616,173,20,0,11
1617,173,17,17,6
1618,173,21,7,7
1619,173,1,153,2
1620,173,15,6,8
1621,173,19,3,9
1622,174,6,170,1
1623,174,3,36,3
1624,174,16,20,5
1625,174,22,20,4
1626,174,18,0,10
1627,174,20,0,11
1628,174,17,17,6
1629,174,21,7,7
