result_ID,race_ID,driver_ID,constructor_ID,q1_time,q2_time,q3_time,starting_position,race_position,points,total_laps,total_time,total_time_ms,fastest_lap,status
1,1,1,1,01:26.5,,,18,20,0,58,2.914,5658698,01:29.0,Disqualified
2,1,2,2,01:25.8,01:25.5,,9,10,0,58,7.085,5662869,01:28.3,Finished
3,1,3,3,01:25.8,01:25.1,01:27.0,5,6,3,58,5.722,5661506,01:27.7,Finished
4,1,4,4,01:26.0,01:25.6,,10,5,4,58,4.879,5660663,01:28.7,Finished
5,1,5,1,01:26.2,01:25.7,,12,19,0,0,,,,Collision
6,1,6,3,01:26.1,01:25.6,,11,18,0,17,,,01:29.9,Accident
7,1,7,5,01:27.0,,,17,8,1,58,6.298,5662082,01:29.8,Finished
8,1,8,6,01:25.9,01:25.4,01:27.2,7,15,0,55,,,01:28.5,Differential
9,1,9,2,01:25.9,01:25.2,01:26.9,4,14,0,55,,,01:28.0,Collision
10,1,10,7,01:25.5,01:25.3,01:27.0,19,4,5,58,4.435,5660219,01:28.4,Finished
11,1,12,4,01:26.6,,,14,17,0,24,,,01:30.5,Spun off
12,1,13,6,01:25.8,01:25.3,01:27.0,6,16,0,45,,,01:29.1,Suspension
13,1,15,7,01:26.2,01:25.3,01:27.1,20,3,6,58,1.604,5657388,01:28.9,Finished
14,1,16,10,01:26.7,,,16,9,0,58,6.335,5662119,01:28.9,Finished
15,1,17,9,01:25.4,01:25.2,01:27.2,8,12,0,57,,,01:28.5,+1 Lap
16,1,18,23,01:25.2,01:24.9,01:26.2,1,1,10,58,34:15.8,5655784,01:28.0,Finished
17,1,20,9,01:25.9,01:25.1,01:26.8,3,13,0,56,,,01:28.1,Collision
18,1,21,10,01:26.7,,,15,11,0,58,7.374,5663158,01:29.0,Finished
19,1,22,23,01:25.0,01:24.8,01:26.5,2,2,8,58,0.807,5656591,01:29.1,Finished
20,1,67,5,01:26.5,,,13,7,2,58,6.004,5661788,01:29.2,Finished
21,2,1,1,01:35.3,01:34.9,,12,7,1,31,60.733,3391355,01:39.1,Finished
22,2,2,2,01:35.1,01:34.8,,10,2,4,31,22.722,3353344,01:39.1,Finished
23,2,3,3,01:35.1,01:34.5,01:35.7,4,8,0,31,71.576,3402198,01:37.6,Finished
24,2,4,4,01:35.3,01:34.7,01:37.7,9,11,0,31,109.422,3440044,01:39.0,+1 Lap
25,2,5,1,01:35.0,01:34.9,,14,20,0,0,,,,Spun off
26,2,6,3,01:35.3,01:34.8,,11,12,0,31,116.13,3446752,01:39.4,+1 Lap
27,2,7,5,01:35.5,01:35.4,,15,10,0,31,102.164,3432786,01:39.2,Finished
28,2,8,6,01:35.5,01:34.5,01:36.2,7,14,0,31,142.841,3473463,01:38.5,+1 Lap
29,2,9,2,01:35.2,01:34.6,01:36.1,6,19,0,1,,,,Engine
30,2,10,7,01:34.9,01:34.3,01:35.7,3,3,3,31,23.513,3354135,01:39.4,Finished
31,2,12,4,01:35.7,,,17,13,0,31,116.713,3447335,01:39.3,+1 Lap
32,2,13,6,01:35.6,,,16,9,0,31,76.932,3407554,01:39.3,Finished
33,2,15,7,01:34.7,01:34.0,01:35.3,2,4,2,31,46.173,3376795,01:37.6,Finished
34,2,16,10,01:36.0,,,19,17,0,30,,,01:39.5,+1 Lap
35,2,17,9,01:35.0,01:34.2,01:35.8,5,6,2,31,52.333,3382955,01:37.7,Finished
36,2,18,23,01:35.1,01:33.8,01:35.2,1,1,5,31,55:30.6,3330622,01:36.6,Finished
37,2,20,9,01:34.9,01:34.3,01:35.5,13,15,0,30,,,01:38.4,Spun off
38,2,21,10,01:35.9,,,18,18,0,29,,,01:39.4,Spun off
39,2,22,23,01:34.7,01:34.4,01:35.7,8,5,2,31,47.36,3377982,01:37.5,Finished
40,2,67,5,01:36.1,,,20,16,0,30,,,01:38.9,Spun off
41,3,1,1,01:35.8,01:35.7,01:38.6,9,6,3,56,71.866,7135351,01:54.7,Finished
42,3,2,2,01:36.5,01:36.0,,11,12,0,56,95.834,7159319,01:54.2,Finished
43,3,3,3,01:35.9,01:35.8,01:37.4,7,15,0,55,,,01:54.2,+1 Lap
44,3,4,4,01:36.4,01:35.8,01:36.4,2,9,0,56,84.309,7147794,01:54.5,Finished
45,3,5,1,01:36.6,01:36.0,,12,5,4,56,65.102,7128587,01:54.5,Finished
46,3,6,3,01:36.7,01:36.2,,14,18,0,43,,,01:56.2,Retired
47,3,7,5,01:36.9,,,15,11,0,56,94.156,7157641,01:53.5,Finished
48,3,8,6,01:36.1,01:35.9,01:38.1,8,10,0,56,91.75,7155235,01:55.4,Finished
49,3,9,2,01:37.0,,,17,13,0,56,106.853,7170338,01:55.3,Finished
50,3,10,7,01:36.4,01:36.1,,19,7,2,56,74.476,7137961,01:52.7,Finished
51,3,12,4,01:36.9,,,16,16,0,54,,,01:55.5,+2 Laps
52,3,13,6,01:36.2,01:36.0,,13,19,0,20,,,01:56.5,Electronics
53,3,15,7,01:36.3,01:35.6,01:36.8,6,20,0,18,,,02:00.3,Collision
54,3,16,10,01:37.7,,,18,17,0,50,,,01:54.8,Spun off
55,3,17,9,01:35.8,01:35.2,01:36.5,3,2,8,56,10.97,7074455,01:53.0,Finished
56,3,18,23,01:35.5,01:35.6,01:36.5,5,3,6,56,44.975,7108460,01:53.5,Finished
57,3,20,9,01:36.6,01:35.1,01:36.2,1,1,10,56,57:43.5,7063485,01:52.6,Finished
58,3,21,10,01:37.7,,,20,14,0,55,,,01:56.2,+1 Lap
59,3,22,23,01:35.7,01:35.5,01:36.5,4,4,5,56,63.704,7127189,01:52.6,Finished
60,3,67,5,01:36.3,01:36.0,01:39.3,10,8,1,56,76.439,7139924,01:54.6,Finished
61,4,1,1,01:32.9,01:32.9,01:34.2,5,4,5,57,22.096,5530278,01:34.9,Finished
62,4,2,2,01:33.4,01:33.6,,14,19,0,56,,,01:35.9,+1 Lap
63,4,3,3,01:33.7,01:33.2,01:35.1,9,9,0,57,58.198,5566380,01:35.8,Finished
64,4,4,4,01:33.6,01:32.9,01:34.6,7,8,1,57,52.775,5560957,01:35.7,Finished
65,4,5,1,01:33.5,01:33.2,,11,12,0,57,77.824,5586006,01:35.5,Finished
66,4,6,3,01:33.2,01:33.3,,12,20,0,48,,,01:36.2,Oil pressure
67,4,7,5,01:34.2,,,20,13,0,57,78.805,5586987,01:35.4,Finished
68,4,8,6,01:33.1,01:32.8,01:35.4,10,6,3,57,42.057,5550239,01:35.5,Finished
69,4,9,2,01:33.5,01:33.5,,13,18,0,56,,,01:35.7,+1 Lap
70,4,10,7,01:33.2,01:32.6,01:33.7,2,7,2,57,42.88,5551062,01:34.6,Finished
71,4,12,4,01:33.6,01:33.9,,15,10,0,57,65.149,5573331,01:35.4,Finished
72,4,13,6,01:33.3,01:33.0,01:34.8,8,14,0,56,,,01:35.1,+1 Lap
73,4,15,7,01:32.8,01:32.7,01:33.4,1,3,6,57,9.17,5517352,01:34.6,Finished
74,4,16,10,01:33.7,,,19,16,0,56,,,01:36.2,+1 Lap
75,4,17,9,01:34.0,,,18,11,0,57,67.641,5575823,01:35.2,Finished
76,4,18,23,01:33.0,01:32.8,01:34.0,4,1,10,57,31:48.2,5508182,01:34.6,Finished
77,4,20,9,01:32.7,01:32.5,01:34.0,3,2,8,57,7.187,5515369,01:34.8,Finished
78,4,21,10,01:33.9,,,17,15,0,56,,,01:36.4,+1 Lap
79,4,22,23,01:33.1,01:32.8,01:34.2,6,5,4,57,37.779,5545961,01:34.9,Finished
80,4,67,5,01:33.8,,,16,17,0,56,,,01:36.5,+1 Lap
81,5,1,1,01:21.0,01:20.8,,14,9,0,65,,,01:23.8,+1 Lap
82,5,2,2,01:21.1,01:20.7,,13,7,2,66,52.312,5891514,01:23.9,Finished
83,5,3,3,01:20.7,01:20.3,01:22.6,9,8,1,66,65.211,5904413,01:23.6,Finished
84,5,4,4,01:21.2,01:20.5,01:21.4,8,5,4,66,43.166,5882368,01:23.4,Finished
85,5,5,1,01:21.7,,,18,16,0,7,,,01:28.7,Gearbox
86,5,6,3,01:20.8,01:20.5,,11,13,0,65,,,01:24.2,+1 Lap
87,5,7,5,01:21.3,,,17,19,0,0,,,,Collision
88,5,8,6,01:21.3,,,16,15,0,17,,,01:24.5,Hydraulics
89,5,9,2,01:20.9,01:20.4,01:22.7,10,11,0,65,,,01:24.1,+1 Lap
90,5,10,7,01:20.9,01:20.1,01:21.2,6,10,0,65,,,01:24.1,+1 Lap
91,5,12,4,01:21.1,01:20.6,,12,12,0,65,,,01:24.3,+1 Lap
92,5,13,6,01:20.5,01:20.1,01:20.9,4,6,3,66,50.827,5890029,01:23.1,Finished
93,5,15,7,01:21.2,01:20.4,01:21.3,7,17,0,0,,,,Collision
94,5,16,10,01:21.7,,,19,20,0,0,,,,Collision
95,5,17,9,01:20.7,01:20.0,01:21.0,5,3,6,66,13.924,5853126,01:23.1,Finished
96,5,18,23,01:20.7,01:20.2,01:20.5,1,1,10,66,37:19.2,5839202,01:22.9,Finished
97,5,20,9,01:20.7,01:20.2,01:20.7,2,4,5,66,18.941,5858143,01:23.1,Finished
98,5,21,10,01:22.2,,,20,14,0,65,,,01:23.8,+1 Lap
99,5,22,23,01:20.8,01:20.0,01:20.8,3,2,8,66,13.056,5852258,01:22.8,Finished
100,5,67,5,01:21.0,01:21.1,,15,18,0,0,,,,Collision
101,6,1,1,01:16.3,,,19,12,0,77,,,01:15.7,+1 Lap
102,6,2,2,01:16.3,,,16,11,0,77,,,01:16.3,+1 Lap
103,6,3,3,01:15.1,01:14.8,01:15.5,6,6,3,78,33.586,6077868,01:15.8,Finished
104,6,4,4,01:15.9,01:15.2,01:16.0,9,7,2,78,37.839,6082121,01:15.4,Finished
105,6,5,1,01:15.5,01:14.8,01:15.5,7,16,0,51,,,01:15.7,Accident
106,6,6,3,01:15.9,01:15.6,01:17.3,10,15,0,76,,,01:15.8,Accident
107,6,7,5,01:16.1,01:16.3,,14,8,1,78,63.142,6107424,01:16.2,Finished
108,6,8,6,01:15.7,01:14.5,01:14.9,2,3,6,78,13.442,6057724,01:15.4,Finished
109,6,9,2,01:16.4,,,17,17,0,28,,,01:17.6,Brakes
110,6,10,7,01:16.8,,,20,10,0,77,,,01:16.1,+1 Lap
111,6,12,4,01:16.0,01:15.8,,12,19,0,10,,,01:18.5,Collision
112,6,13,6,01:15.3,01:15.0,01:15.4,5,4,5,78,15.11,6059392,01:15.2,Finished
113,6,15,7,01:16.5,,,18,13,0,77,,,01:16.0,+1 Lap
114,6,16,10,01:16.2,01:16.5,,15,14,0,77,,,01:16.2,+1 Lap
115,6,17,9,01:15.3,01:14.8,01:15.7,8,5,4,78,15.73,6060012,01:15.3,Finished
116,6,18,23,01:15.2,01:15.0,01:14.9,1,1,10,78,40:44.3,6044282,01:15.2,Finished
117,6,20,9,01:15.9,01:14.9,01:15.3,4,18,0,15,,,01:17.6,Accident
118,6,21,10,01:16.1,01:16.1,,13,9,0,78,65.04,6109322,01:16.4,Finished
119,6,22,23,01:15.4,01:14.8,01:15.1,3,2,8,78,7.666,6051948,01:15.7,Finished
120,6,67,5,01:15.8,01:15.8,,11,20,0,10,,,01:18.6,Collision
121,7,1,1,01:28.3,,,16,13,0,58,80.454,5265302,01:28.6,Finished
122,7,2,2,01:27.8,01:27.5,,11,11,0,58,64.327,5249175,01:28.2,Finished
123,7,3,3,01:27.5,01:27.4,01:29.2,9,5,4,58,31.539,5216387,01:28.2,Finished
124,7,4,4,01:28.0,01:27.5,01:29.1,8,10,0,58,62.42,5247268,01:28.4,Finished
125,7,5,1,01:28.2,01:28.2,,14,14,0,57,,,01:29.2,+1 Lap
126,7,6,3,01:27.7,01:27.6,,12,12,0,58,66.376,5251224,01:28.0,Finished
127,7,7,5,01:28.9,,,20,18,0,57,,,01:29.0,+1 Lap
128,7,8,6,01:27.6,01:27.4,01:28.8,6,9,0,58,50.246,5235094,01:28.1,Finished
129,7,9,2,01:27.8,01:27.5,01:29.4,10,7,2,58,46.247,5231095,01:28.0,Finished
130,7,10,7,01:28.2,01:27.8,,13,8,1,58,46.959,5231807,01:27.9,Finished
131,7,12,4,01:28.6,,,17,16,0,57,,,01:28.3,+1 Lap
132,7,13,6,01:27.5,01:27.3,01:28.9,7,6,3,58,39.996,5224844,01:28.2,Finished
133,7,15,7,01:27.5,01:27.2,01:28.7,5,4,5,58,27.843,5212691,01:27.9,Finished
134,7,16,10,01:28.3,01:28.4,,15,17,0,57,,,01:29.2,+1 Lap
135,7,17,9,01:27.5,01:27.4,01:28.6,4,2,8,58,6.714,5191562,01:27.8,Finished
136,7,18,23,01:27.4,01:27.2,01:28.4,2,1,10,58,26:24.8,5184848,01:27.6,Finished
137,7,20,9,01:27.3,01:27.0,01:28.3,1,3,6,58,7.461,5192309,01:27.6,Finished
138,7,21,10,01:28.7,,,19,20,0,4,,,01:34.1,Brakes
139,7,22,23,01:27.4,01:27.4,01:28.6,3,19,0,47,,,01:28.5,Gearbox
140,7,67,5,01:28.7,,,18,15,0,57,,,01:28.6,+1 Lap
141,8,1,1,01:19.9,,,18,16,0,59,,,01:22.6,+1 Lap
142,8,2,2,01:19.6,01:19.4,,15,15,0,59,,,01:22.0,+1 Lap
143,8,3,3,01:19.2,01:18.6,01:20.4,7,5,4,60,45.915,5015243,01:21.1,Finished
144,8,4,4,01:19.2,01:18.8,01:20.7,10,14,0,59,,,01:21.9,+1 Lap
145,8,5,1,01:19.7,01:19.4,,13,20,0,36,,,01:22.4,Collision
146,8,6,3,01:18.5,01:18.6,01:20.2,5,11,0,60,74.023,5043351,01:21.8,Finished
147,8,7,5,01:19.9,,,17,19,0,37,,,01:22.5,Collision
148,8,8,6,01:19.0,01:18.6,01:20.7,9,8,1,60,69.622,5038950,01:21.7,Finished
149,8,9,2,01:19.7,01:19.3,,12,13,0,59,,,01:22.2,+1 Lap
150,8,10,7,01:19.2,01:18.8,01:20.5,8,9,0,60,69.823,5039151,01:21.7,Finished
151,8,12,4,01:19.6,01:19.4,,14,12,0,59,,,01:22.5,+1 Lap
152,8,13,6,01:19.1,01:18.9,,11,4,5,60,45.043,5014371,01:21.5,Finished
153,8,15,7,01:18.9,01:18.2,01:20.1,4,7,2,60,68.307,5037635,01:21.8,Finished
154,8,16,10,01:19.9,,,20,17,0,59,,,01:23.5,+1 Lap
155,8,17,9,01:18.7,01:18.2,01:19.9,3,2,8,60,15.188,4984516,01:20.9,Finished
156,8,18,23,01:19.0,01:18.7,01:20.3,6,6,3,60,46.285,5015613,01:21.2,Finished
157,8,20,9,01:18.7,01:18.1,01:19.5,1,1,10,60,22:49.3,4969328,01:20.7,Finished
158,8,21,10,01:19.8,,,16,10,0,60,71.522,5040850,01:21.8,Finished
159,8,22,23,01:19.3,01:18.3,01:19.9,2,3,6,60,41.175,5010503,01:21.4,Finished
160,8,67,5,01:20.2,,,19,18,0,59,,,01:22.7,+1 Lap
161,9,1,1,01:31.5,01:39.1,01:32.6,5,18,0,59,,,01:35.4,+1 Lap
162,9,2,2,01:31.8,01:42.3,,11,10,0,60,61.925,5865235,01:34.6,Finished
163,9,3,3,01:31.6,01:42.9,,15,4,5,60,21.099,5824409,01:34.4,Finished
164,9,4,4,01:31.3,01:42.3,,12,7,2,60,24.888,5828198,01:33.4,Finished
165,9,5,1,01:31.9,01:40.8,01:33.9,6,8,1,60,58.692,5862002,01:35.5,Finished
166,9,6,3,01:31.9,01:42.5,,13,12,0,60,62.876,5866186,01:34.2,Finished
167,9,7,5,01:33.6,,,19,20,0,18,,,01:37.5,Hydraulics
168,9,8,6,01:31.9,01:41.7,01:34.7,9,19,0,34,,,01:36.1,Engine
169,9,9,2,01:32.2,,,16,14,0,60,69.555,5872865,01:34.5,Finished
170,9,10,7,01:32.4,,,20,9,0,60,61.457,5864767,01:35.4,Finished
171,9,12,4,01:32.1,01:35.7,01:34.8,10,13,0,60,68.328,5871638,01:34.9,Finished
172,9,13,6,01:31.6,01:41.7,01:34.6,8,3,6,60,15.906,5819216,01:34.5,Finished
173,9,15,7,01:31.8,01:42.8,,14,17,0,60,90.97,5894280,01:33.7,Finished
174,9,16,10,01:32.0,01:36.7,01:34.3,7,15,0,60,71.941,5875251,01:35.4,Finished
175,9,17,9,01:31.3,01:38.0,01:32.2,1,1,10,60,36:43.3,5803310,01:34.0,Finished
176,9,18,23,01:31.6,01:39.0,01:32.5,3,5,4,60,23.609,5826919,01:34.3,Finished
177,9,20,9,01:31.4,01:39.5,01:32.5,4,2,8,60,9.252,5812562,01:34.1,Finished
178,9,21,10,01:32.4,,,18,11,0,60,62.327,5865637,01:35.3,Finished
179,9,22,23,01:31.5,01:34.5,01:32.4,2,6,3,60,24.468,5827778,01:34.7,Finished
180,9,67,5,01:32.3,,,17,16,0,60,90.225,5893535,01:36.3,Finished
181,10,1,1,01:20.8,01:20.5,01:21.8,4,1,10,70,38:23.9,5903876,01:22.5,Finished
182,10,2,2,01:21.7,,,15,11,0,70,70.612,5974488,01:23.3,Finished
183,10,3,3,01:20.8,01:20.9,01:21.9,5,4,5,70,26.967,5930843,01:22.5,Finished
184,10,4,4,01:21.3,01:20.8,01:21.6,1,18,0,15,,,01:23.5,Wheel
185,10,5,1,01:21.7,01:20.8,01:22.1,6,5,4,70,34.392,5938268,01:23.0,Finished
186,10,6,3,01:21.4,01:20.6,01:22.8,9,9,0,70,68.774,5972650,01:23.2,Finished
187,10,8,6,01:21.5,01:20.6,01:22.5,7,2,8,70,11.529,5915405,01:22.4,Finished
188,10,9,2,01:21.9,,,18,13,0,70,74.046,5977922,01:23.2,Finished
189,10,10,7,01:21.6,01:21.2,,13,6,3,70,35.237,5939113,01:22.5,Finished
190,10,12,4,01:21.3,01:21.4,,14,12,0,70,71.512,5975388,01:23.4,Finished
191,10,13,6,01:21.4,01:20.8,,0,20,0,0,,,,Withdrew
192,10,15,7,01:21.4,01:21.1,,11,8,1,70,68.172,5972048,01:23.3,Finished
193,10,16,10,01:21.9,,,17,19,0,1,,,,Overheating
194,10,17,9,01:21.0,01:20.4,01:21.7,3,3,6,70,16.886,5920762,01:21.9,Finished
195,10,18,23,01:21.5,01:20.7,01:22.5,8,7,2,70,55.088,5958964,01:22.7,Finished
196,10,20,9,01:21.2,01:20.6,01:21.6,2,17,0,29,,,01:23.5,Suspension
197,10,21,10,01:21.8,,,16,14,0,69,,,01:23.2,+1 Lap
198,10,22,23,01:21.6,01:21.2,,12,10,0,70,69.256,5973132,01:23.0,Finished
199,10,67,5,01:21.6,01:21.0,,10,16,0,69,,,01:23.0,+1 Lap
200,10,153,5,01:22.4,,,19,15,0,69,,,01:23.4,+1 Lap
201,11,1,1,01:38.6,01:38.2,01:39.5,1,2,8,57,2.358,5753647,01:39.1,Finished
202,11,2,2,01:39.0,01:38.8,,11,11,0,57,48.822,5800111,01:39.7,Finished
203,11,3,3,01:39.0,01:38.3,01:40.2,7,5,4,57,20.87,5772159,01:39.3,Finished
204,11,4,4,01:39.2,01:38.7,01:40.2,8,6,3,57,27.744,5779033,01:39.5,Finished
205,11,5,1,01:38.8,01:38.2,01:39.5,2,4,5,57,20.032,5771321,01:39.3,Finished
206,11,6,3,01:39.8,,,17,18,0,54,,,01:39.7,+3 Laps
207,11,8,6,01:38.8,01:38.8,01:40.1,6,3,6,57,15.994,5767283,01:39.2,Finished
208,11,9,2,01:38.8,01:38.7,01:40.5,10,8,1,57,36.667,5787956,01:39.4,Finished
209,11,10,7,01:39.5,01:39.0,,13,14,0,57,86.519,5837808,01:38.7,Finished
210,11,15,7,01:39.8,,,18,13,0,57,64.527,5815816,01:39.9,Finished
211,11,16,10,01:39.1,01:38.8,,12,10,0,57,47.935,5799224,01:39.6,Finished
212,11,17,9,01:39.0,01:38.6,01:40.2,9,9,0,57,44.91,5796199,01:39.5,Finished
213,11,18,23,01:38.5,01:38.6,01:39.8,5,7,2,57,34.913,5786202,01:38.9,Finished
214,11,20,9,01:39.3,01:38.3,01:39.8,4,20,0,23,,,01:40.0,Engine
215,11,21,10,01:39.5,,,16,12,0,57,63.614,5814903,01:40.1,Finished
216,11,22,23,01:39.0,01:38.1,01:39.6,3,1,10,57,35:51.3,5751289,01:39.0,Finished
217,11,67,5,01:38.9,01:39.5,,15,19,0,41,,,01:41.0,Brakes
218,11,69,6,01:41.4,,,20,17,0,56,,,01:40.6,+1 Lap
219,11,153,5,01:39.9,,,19,16,0,56,,,01:40.9,+1 Lap
220,11,154,4,01:39.3,01:39.0,,14,15,0,57,91.774,5843063,01:39.4,Finished
221,12,1,1,01:45.8,01:45.1,,12,19,0,0,,,,Collision
222,12,2,2,01:45.6,01:44.7,01:46.5,3,5,4,44,11.276,5042271,01:47.4,Finished
223,12,3,3,01:45.5,01:45.0,01:47.4,10,8,1,44,36.208,5067203,01:47.8,Finished
224,12,4,4,01:45.7,01:45.1,,13,15,0,26,,,01:48.6,Retired
225,12,5,1,01:45.7,01:45.3,,15,6,3,44,32.763,5063758,01:48.3,Finished
226,12,6,3,01:46.3,,,18,13,0,44,54.241,5085236,01:48.2,Finished
227,12,8,6,01:45.6,01:45.0,01:46.6,6,1,10,44,23:51.0,5030995,01:47.7,Finished
228,12,9,2,01:45.7,01:44.6,01:46.6,5,4,5,44,9.966,5040961,01:47.7,Finished
229,12,10,7,01:45.5,01:44.9,01:46.7,7,10,0,44,41.49,5072485,01:47.7,Finished
230,12,15,7,01:45.1,01:44.5,01:46.4,2,16,0,21,,,01:50.0,Brakes
231,12,16,10,01:45.2,01:45.1,,11,11,0,44,42.636,5073631,01:47.9,Finished
232,12,17,9,01:45.3,01:44.9,01:46.8,9,9,0,44,36.959,5067954,01:47.8,Finished
233,12,18,23,01:45.8,01:45.3,,14,17,0,0,,,,Collision
234,12,20,9,01:45.4,01:44.6,01:46.8,8,3,6,44,3.875,5034870,01:47.3,Finished
235,12,21,10,01:45.1,01:44.7,01:46.3,1,2,8,44,0.939,5031934,01:47.7,Finished
236,12,22,23,01:45.2,01:44.8,01:46.5,4,7,2,44,35.461,5066456,01:48.3,Finished
237,12,67,5,01:46.0,,,16,12,0,44,46.106,5077101,01:47.8,Finished
238,12,69,6,01:47.0,,,20,14,0,44,102.177,5133172,01:49.8,Finished
239,12,153,5,01:46.3,,,17,20,0,0,,,,Collision
240,12,154,4,01:46.4,,,19,18,0,0,,,,Collision
241,13,1,1,01:23.4,01:23.0,01:24.1,1,12,0,52,,,01:24.8,Accident
242,13,2,2,01:23.6,01:24.3,,15,7,2,53,82.412,4664118,01:25.5,Finished
243,13,3,3,01:24.1,,,18,16,0,51,,,01:25.9,+2 Laps
244,13,4,4,01:23.7,01:23.5,01:25.1,8,5,4,53,59.182,4640888,01:25.2,Finished
245,13,5,1,01:23.5,01:23.5,01:24.8,4,6,3,53,60.693,4642399,01:25.1,Finished
246,13,6,3,01:24.1,,,17,10,0,53,162.163,4743869,01:26.0,Finished
247,13,8,6,01:23.3,01:23.4,01:24.5,3,3,6,53,30.664,4612370,01:24.8,Finished
248,13,9,2,01:24.0,01:23.9,,13,19,0,15,,,01:27.8,Oil leak
249,13,10,7,01:24.0,,,16,11,0,53,163.925,4745631,01:25.8,Finished
250,13,15,7,01:24.0,01:23.6,,11,14,0,52,,,01:25.7,+1 Lap
251,13,16,10,01:23.6,01:23.1,01:24.3,2,4,5,53,31.131,4612837,01:24.7,Finished
252,13,17,9,01:23.8,01:23.3,01:25.3,10,20,0,0,,,,Collision
253,13,18,23,01:23.4,01:23.0,01:25.0,6,2,8,53,2.866,4584572,01:24.9,Finished
254,13,20,9,01:23.6,01:23.5,01:25.2,9,8,1,53,85.407,4667113,01:25.2,Finished
255,13,21,6,01:23.8,01:23.9,,14,9,0,53,86.856,4668562,01:25.5,Finished
256,13,22,23,01:23.5,01:23.0,01:25.0,5,1,10,53,16:21.7,4581706,01:25.0,Finished
257,13,24,10,01:23.6,01:23.2,01:25.0,7,17,0,22,,,01:26.0,Transmission
258,13,67,5,01:24.2,,,19,13,0,52,,,01:25.6,+1 Lap
259,13,153,5,01:25.0,,,20,18,0,19,,,01:27.8,Retired
260,13,154,4,01:24.0,01:23.7,,12,15,0,52,,,01:25.6,+1 Lap
261,14,1,1,01:47.0,01:46.7,01:47.9,1,1,10,61,56:06.3,6966337,01:48.3,Finished
262,14,2,2,01:47.3,01:46.8,01:49.3,20,19,0,19,,,01:51.3,Collision
263,14,3,3,01:47.4,01:46.2,01:48.3,3,11,0,61,59.777,7026114,01:48.4,Finished
264,14,4,4,01:47.8,01:46.8,01:49.1,5,3,6,61,16.624,6982961,01:48.2,Finished
265,14,5,1,01:47.5,01:46.8,01:49.8,8,7,2,61,36.157,7002494,01:49.3,Finished
266,14,6,3,01:47.6,01:47.0,,10,9,0,61,56.054,7022391,01:49.4,Finished
267,14,8,6,01:47.3,01:47.2,,12,10,0,61,58.892,7025229,01:48.4,Finished
268,14,9,2,01:47.6,01:46.8,01:49.5,7,8,1,61,55.054,7021391,01:48.8,Finished
269,14,10,7,01:47.8,01:46.7,01:49.2,6,2,8,61,9.634,6975971,01:48.4,Finished
270,14,15,7,01:47.7,01:47.4,,14,12,0,61,73.009,7039346,01:48.8,Finished
271,14,16,10,01:48.2,,,15,18,0,23,,,01:52.6,Collision
272,14,17,9,01:47.6,01:46.3,01:48.7,4,17,0,45,,,01:49.3,Brakes
273,14,18,23,01:47.2,01:47.1,,11,5,4,61,30.015,6996352,01:48.4,Finished
274,14,20,9,01:47.5,01:46.4,01:48.2,2,4,5,61,20.261,6986598,01:48.4,Finished
275,14,21,6,01:48.3,,,17,13,0,61,79.89,7046227,01:49.4,Finished
276,14,22,23,01:47.4,01:46.8,01:48.8,9,6,3,61,31.858,6998195,01:48.6,Finished
277,14,24,10,01:48.8,,,19,14,0,61,93.502,7059839,01:49.9,Finished
278,14,67,5,01:47.7,01:47.4,,13,16,0,47,,,01:50.6,Gearbox
279,14,153,5,01:48.3,,,16,15,0,47,,,01:52.5,Brakes
280,14,154,4,01:48.5,,,18,20,0,3,,,01:57.2,Brakes
281,15,1,1,01:30.9,01:30.6,01:32.4,3,3,6,53,6.472,5306915,01:33.3,Finished
282,15,2,2,01:31.5,01:31.3,01:32.9,4,6,3,53,9.509,5309952,01:33.6,Finished
283,15,3,3,01:31.3,01:31.5,,7,5,4,53,8.793,5309236,01:33.6,Finished
284,15,4,4,01:31.4,01:31.6,,16,10,0,53,13.065,5313508,01:33.9,Finished
285,15,5,1,01:31.5,01:31.2,,11,11,0,53,13.735,5314178,01:33.8,Finished
286,15,6,3,01:31.7,,,15,15,0,53,17.973,5318416,01:34.8,Finished
287,15,8,6,01:31.3,01:31.1,01:33.0,5,4,5,53,7.94,5308383,01:33.0,Finished
288,15,9,2,01:31.4,01:32.3,,9,9,0,53,11.777,5312220,01:33.3,Finished
289,15,10,7,01:31.6,,,20,20,0,0,,,,Injured
290,15,15,7,01:31.1,01:30.7,01:32.2,2,2,8,53,4.877,5305320,01:33.2,Finished
291,15,16,10,01:31.4,01:31.2,01:32.5,8,13,0,53,14.959,5315402,01:33.7,Finished
292,15,17,9,,,,19,17,0,51,,,01:32.6,+2 Laps
293,15,18,23,01:31.0,01:30.9,01:33.0,10,8,1,53,11.474,5311917,01:33.3,Finished
294,15,20,9,01:30.9,01:30.3,01:32.2,1,1,10,53,28:20.4,5300443,01:32.6,Finished
295,15,21,6,01:31.7,,,14,12,0,53,14.596,5315039,01:33.5,Finished
296,15,22,23,01:31.3,01:31.1,01:32.7,6,7,2,53,10.641,5311084,01:33.9,Finished
297,15,24,10,01:32.1,,,18,14,0,53,15.734,5316177,01:34.3,Finished
298,15,67,5,01:31.2,01:31.1,,13,19,0,11,,,01:35.4,Clutch
299,15,153,5,01:31.6,,,12,18,0,43,,,01:34.0,Accident
