year,constructor_ID,constructor_name,entries,races,points,points_per_race,avg_starting_position,avg_finish_position,avg_position_change,q3_starts,q3_rate,issues,issue_rate,podiums,wins,final_constructor_position,final_constructor_points,is_mclaren
1969,167,Cooper-Maserati,1,1,0.0,0.0,16.0,7.0,9.0,0,0.0,0,0.0,0,0,7,0,0
1969,197,BRM-Ford,1,1,0.0,0.0,16.0,8.0,8.0,0,0.0,1,1.0,0,0,9,0,0
1969,189,Eagle-Climax,1,1,0.0,0.0,17.0,14.0,3.0,0,0.0,1,1.0,0,0,,,0
1969,183,Brabham-Climax,1,1,0.0,0.0,19.0,17.0,2.0,0,0.0,1,1.0,0,0,10,0,0
1968,6,Ferrari,24,11,37.0,3.3636,5.2083,10.625,-5.4167,0,0.0,14,0.5833,5,1,4,32,0
1968,180,Lotus-Ford,36,12,75.0,6.25,7.5,9.3056,-1.8056,0,0.0,22,0.6111,9,5,1,62,0
1968,191,Brabham-Repco,32,12,12.0,1.0,8.375,12.7812,-4.4062,0,0.0,26,0.8125,2,0,8,10,0
1968,194,McLaren-BRM,8,8,3.0,0.375,14.75,13.375,1.375,0,0.0,5,0.625,0,0,10,3,0
1968,196,Matra-Ford,16,12,45.0,3.75,7.375,6.1875,1.1875,0,0.0,6,0.375,5,3,3,45,0
1968,167,Cooper-Maserati,3,1,0.0,0.0,18.6667,13.6667,5.0,0,0.0,2,0.6667,0,0,11,0,0
1968,183,Brabham-Climax,1,1,0.0,0.0,23.0,10.0,13.0,0,0.0,1,1.0,0,0,15,0,0
1968,11,Honda,15,12,14.0,1.1667,8.2667,10.4667,-2.2,0,0.0,10,0.6667,2,0,6,14,0
1968,66,BRM,32,12,28.0,2.3333,12.2188,10.2188,2.0,0,0.0,19,0.5938,4,0,5,28,0
1968,190,Eagle-Weslake,5,5,0.0,0.0,11.2,12.8,-1.6,0,0.0,4,0.8,0,0,12,0,0
1968,89,LDS,1,1,0.0,0.0,22.0,15.0,7.0,0,0.0,1,1.0,0,0,16,0,0
1968,170,Cooper-Climax,1,1,0.0,0.0,20.0,16.0,4.0,0,0.0,1,1.0,0,0,17,0,0
1968,195,Cooper-BRM,21,12,20.0,1.6667,15.2381,11.381,3.8571,0,0.0,13,0.619,2,0,7,14,0
1968,187,McLaren-Ford,23,11,56.0,5.0909,6.6957,7.7826,-1.087,0,0.0,9,0.3913,6,3,2,49,0
1968,82,Matra,12,10,8.0,0.8,14.0833,10.5833,3.5,0,0.0,7,0.5833,1,0,9,8,0
1968,1,McLaren,2,2,0.0,0.0,10.5,10.5,0.0,0,0.0,1,0.5,0,0,14,0,1
1968,26,Lola,1,1,0.0,0.0,18.0,10.0,8.0,0,0.0,0,0.0,0,0,13,0,0
1967,176,Lotus-BRM,8,5,6.0,1.2,11.625,12.375,-0.75,0,0.0,5,0.625,1,0,8,6,0
1967,183,Brabham-Climax,8,6,2.0,0.3333,12.5,9.75,2.75,0,0.0,5,0.625,0,0,11,2,0
1967,191,Brabham-Repco,27,11,100.0,9.0909,7.2222,5.8148,1.4074,0,0.0,6,0.2222,14,4,1,63,0
1967,66,BRM,34,11,21.0,1.9091,10.8824,11.4706,-0.5882,0,0.0,22,0.6471,2,0,6,17,0
1967,170,Cooper-Climax,2,2,6.0,3.0,2.5,10.0,-7.5,0,0.0,1,0.5,1,0,9,6,0
1967,11,Honda,9,9,20.0,2.2222,7.2222,7.0,0.2222,0,0.0,4,0.4444,2,1,4,20,0
1967,167,Cooper-Maserati,42,11,31.0,2.8182,11.881,10.2143,1.6667,0,0.0,22,0.5238,1,1,3,28,0
1967,189,Eagle-Climax,4,4,0.0,0.0,7.25,15.75,-8.5,0,0.0,4,1.0,0,0,17,0,0
1967,184,LDS-Climax,1,1,0.0,0.0,14.0,9.0,5.0,0,0.0,1,1.0,0,0,15,0,0
1967,6,Ferrari,16,10,23.0,2.3,7.6875,6.875,0.8125,0,0.0,6,0.375,4,0,5,20,0
1967,82,Matra,4,2,0.0,0.0,12.5,17.5,-5.0,0,0.0,4,1.0,0,0,18,0,0
1967,194,McLaren-BRM,6,6,3.0,0.5,8.3333,11.5,-3.1667,0,0.0,4,0.6667,0,0,10,3,0
1967,190,Eagle-Weslake,13,9,13.0,1.4444,5.0769,13.1538,-8.0769,0,0.0,11,0.8462,2,1,7,13,0
1967,172,Lotus-Climax,1,1,0.0,0.0,5.0,9.0,-4.0,0,0.0,1,1.0,0,0,16,0,0
1967,180,Lotus-Ford,22,9,50.0,5.5556,5.1818,9.2727,-4.0909,0,0.0,13,0.5909,6,4,2,44,0
1967,193,Cooper-ATS,1,1,0.0,0.0,20.0,15.0,5.0,0,0.0,1,1.0,0,0,20,0,0
1967,26,Lola,2,1,0.0,0.0,18.0,13.5,4.5,0,0.0,1,0.5,0,0,14,0,0
1967,90,Protos,2,1,0.0,0.0,24.0,17.5,6.5,0,0.0,1,0.5,0,0,19,0,0
1967,182,Brabham-Ford,1,1,0.0,0.0,20.0,7.0,13.0,0,0.0,0,0.0,0,0,13,0,0
1967,187,McLaren-Ford,2,2,0.0,0.0,16.0,7.0,9.0,0,0.0,0,0.0,0,0,12,0,0
1966,66,BRM,25,9,34.0,3.7778,8.72,10.12,-1.4,0,0.0,15,0.6,4,1,4,22,0
1966,183,Brabham-Climax,11,7,1.0,0.1429,12.3636,11.9091,0.4545,0,0.0,8,0.7273,0,0,10,1,0
1966,6,Ferrari,16,7,42.0,6.0,4.6875,7.875,-3.1875,0,0.0,8,0.5,6,2,2,31,0
1966,181,Brabham-BRM,6,6,1.0,0.1667,14.3333,12.0,2.3333,0,0.0,3,0.5,0,0,11,1,0
1966,167,Cooper-Maserati,40,9,49.0,5.4444,9.15,9.2,-0.05,0,0.0,25,0.625,6,1,3,30,0
1966,191,Brabham-Repco,16,9,63.0,7.0,5.5,6.5,-1.0,0,0.0,6,0.375,9,4,1,42,0
1966,187,McLaren-Ford,3,3,2.0,0.6667,11.6667,10.0,1.6667,0,0.0,2,0.6667,0,0,9,2,0
1966,172,Lotus-Climax,8,8,8.0,1.0,9.0,7.75,1.25,0,0.0,4,0.5,1,0,6,8,0
1966,176,Lotus-BRM,20,9,13.0,1.4444,10.6,11.2,-0.6,0,0.0,15,0.75,1,1,5,13,0
1966,188,McLaren-Serenissima,2,2,1.0,0.5,6.5,11.0,-4.5,0,0.0,1,0.5,0,0,12,1,0
1966,189,Eagle-Climax,8,8,4.0,0.5,8.625,12.25,-3.625,0,0.0,6,0.75,0,0,7,4,0
1966,192,Cooper-Ferrari,2,2,0.0,0.0,22.5,11.0,11.5,0,0.0,1,0.5,0,0,13,0,0
1966,91,Shannon,1,1,0.0,0.0,18.0,20.0,-2.0,0,0.0,1,1.0,0,0,15,0,0
1966,190,Eagle-Weslake,3,3,0.0,0.0,17.0,16.6667,0.3333,0,0.0,3,1.0,0,0,14,0,0
1966,11,Honda,5,3,3.0,1.0,9.8,9.0,0.8,0,0.0,3,0.6,0,0,8,3,0
1965,66,BRM,28,10,81.0,8.1,8.0357,8.0357,0.0,0,0.0,9,0.3214,11,3,2,45,0
