race_ID,constructor_ID,year,round,circuit_name,constructor_name,entries,points,avg_starting_position,avg_finish_position,avg_position_change,q3_starts,q3_rate,issues,issue_rate,podiums,wins,is_miami,is_mclaren,is_2026_current_form
5,7,2009,5,Spanish Grand Prix,Toyota,2,0.0,6.5,13.5,-7.0,2,1.0,1,0.5,0,0,0,0,0
5,10,2009,5,Spanish Grand Prix,Force India,2,0.0,19.5,17.0,2.5,0,0.0,1,0.5,0,0,0,0,0
5,9,2009,5,Spanish Grand Prix,Red Bull,2,11.0,3.5,3.5,0.0,2,1.0,0,0.0,1,0,0,0,0
5,23,2009,5,Spanish Grand Prix,Brawn,2,18.0,2.0,1.5,0.5,2,1.0,0,0.0,2,1,0,0,0
6,1,2009,6,Monaco Grand Prix,McLaren,2,0.0,13.0,14.0,-1.0,1,0.5,1,0.5,0,0,0,1,0
6,2,2009,6,Monaco Grand Prix,BMW Sauber,2,0.0,16.5,14.0,2.5,0,0.0,1,0.5,0,0,0,0,0
6,3,2009,6,Monaco Grand Prix,Williams,2,3.0,8.0,10.5,-2.5,2,1.0,1,0.5,0,0,0,0,0
6,4,2009,6,Monaco Grand Prix,Renault,2,2.0,10.5,13.0,-2.5,1,0.5,1,0.5,0,0,0,0,0
6,5,2009,6,Monaco Grand Prix,Toro Rosso,2,1.0,12.5,14.0,-1.5,0,0.0,1,0.5,0,0,0,0,0
6,6,2009,6,Monaco Grand Prix,Ferrari,2,11.0,3.5,3.5,0.0,2,1.0,0,0.0,1,0,0,0,0
6,7,2009,6,Monaco Grand Prix,Toyota,2,0.0,19.0,11.5,7.5,0,0.0,0,0.0,0,0,0,0,0
6,10,2009,6,Monaco Grand Prix,Force India,2,0.0,14.0,11.5,2.5,0,0.0,0,0.0,0,0,0,0,0
6,9,2009,6,Monaco Grand Prix,Red Bull,2,4.0,6.0,11.5,-5.5,2,1.0,1,0.5,0,0,0,0,0
6,23,2009,6,Monaco Grand Prix,Brawn,2,18.0,2.0,1.5,0.5,2,1.0,0,0.0,2,1,0,0,0
7,1,2009,7,Turkish Grand Prix,McLaren,2,0.0,15.0,13.5,1.5,0,0.0,0,0.0,0,0,0,1,0
7,2,2009,7,Turkish Grand Prix,BMW Sauber,2,2.0,10.5,9.0,1.5,1,0.5,0,0.0,0,0,0,0,0
7,3,2009,7,Turkish Grand Prix,Williams,2,4.0,10.5,8.5,2.0,1,0.5,0,0.0,0,0,0,0,0
7,4,2009,7,Turkish Grand Prix,Renault,2,0.0,12.5,13.0,-0.5,1,0.5,0,0.0,0,0,0,0,0
7,5,2009,7,Turkish Grand Prix,Toro Rosso,2,0.0,19.0,16.5,2.5,0,0.0,0,0.0,0,0,0,0,0
7,6,2009,7,Turkish Grand Prix,Ferrari,2,3.0,6.5,7.5,-1.0,2,1.0,0,0.0,0,0,0,0,0
7,7,2009,7,Turkish Grand Prix,Toyota,2,6.0,9.0,6.0,3.0,1,0.5,0,0.0,0,0,0,0,0
7,10,2009,7,Turkish Grand Prix,Force India,2,0.0,17.0,18.5,-1.5,0,0.0,1,0.5,0,0,0,0,0
7,9,2009,7,Turkish Grand Prix,Red Bull,2,14.0,2.5,2.5,0.0,2,1.0,0,0.0,2,0,0,0,0
7,23,2009,7,Turkish Grand Prix,Brawn,2,10.0,2.5,10.0,-7.5,2,1.0,1,0.5,1,1,0,0,0
8,1,2009,8,British Grand Prix,McLaren,2,0.0,15.5,18.0,-2.5,0,0.0,1,0.5,0,0,0,1,0
8,2,2009,8,British Grand Prix,BMW Sauber,2,0.0,13.5,14.0,-0.5,0,0.0,0,0.0,0,0,0,0,0
8,3,2009,8,British Grand Prix,Williams,2,4.0,6.0,8.0,-2.0,2,1.0,0,0.0,0,0,0,0,0
8,4,2009,8,British Grand Prix,Renault,2,0.0,12.0,13.0,-1.0,1,0.5,0,0.0,0,0,0,0,0
8,5,2009,8,British Grand Prix,Toro Rosso,2,0.0,18.0,18.5,-0.5,0,0.0,1,0.5,0,0,0,0,0
8,6,2009,8,British Grand Prix,Ferrari,2,6.0,10.0,6.0,4.0,1,0.5,0,0.0,0,0,0,0,0
8,7,2009,8,British Grand Prix,Toyota,2,2.0,6.0,8.0,-2.0,2,1.0,0,0.0,0,0,0,0,0
8,10,2009,8,British Grand Prix,Force India,2,0.0,18.0,13.5,4.5,0,0.0,0,0.0,0,0,0,0,0
8,9,2009,8,British Grand Prix,Red Bull,2,18.0,2.0,1.5,0.5,2,1.0,0,0.0,2,1,0,0,0
8,23,2009,8,British Grand Prix,Brawn,2,9.0,4.0,4.5,-0.5,2,1.0,0,0.0,1,0,0,0,0
9,1,2009,9,German Grand Prix,McLaren,2,1.0,5.5,13.0,-7.5,2,1.0,0,0.0,0,0,0,1,0
9,2,2009,9,German Grand Prix,BMW Sauber,2,0.0,13.5,12.0,1.5,0,0.0,0,0.0,0,0,0,0,0
9,3,2009,9,German Grand Prix,Williams,2,5.0,14.0,8.0,6.0,0,0.0,0,0.0,0,0,0,0,0
9,4,2009,9,German Grand Prix,Renault,2,2.0,11.0,10.0,1.0,1,0.5,0,0.0,0,0,0,0,0
9,5,2009,9,German Grand Prix,Toro Rosso,2,0.0,18.0,18.0,0.0,0,0.0,1,0.5,0,0,0,0,0
9,6,2009,9,German Grand Prix,Ferrari,2,6.0,8.5,11.0,-2.5,2,1.0,1,0.5,1,0,0,0,0
9,7,2009,9,German Grand Prix,Toyota,2,0.0,17.0,13.0,4.0,0,0.0,0,0.0,0,0,0,0,0
9,10,2009,9,German Grand Prix,Force India,2,0.0,12.5,13.0,-0.5,1,0.5,0,0.0,0,0,0,0,0
9,9,2009,9,German Grand Prix,Red Bull,2,18.0,2.5,1.5,1.0,2,1.0,0,0.0,2,1,0,0,0
9,23,2009,9,German Grand Prix,Brawn,2,7.0,2.5,5.5,-3.0,2,1.0,0,0.0,0,0,0,0,0
